"year","site","collector","species","size","sex","claws"
2019,"Cape Egemont",1312,"Homarus americanus",31.5,"F",NA
2019,"Cape Egemont",1312,"Homarus americanus",8.1,"",NA
2019,"Cape Egemont",1312,"Homarus americanus",11.3,"",NA
2019,"Cape Egemont",1313,"Homarus americanus",44.2,"F",NA
2019,"Cape Egemont",1314,"Homarus americanus",29.9,"M",NA
2019,"Cape Egemont",1315,"Homarus americanus",41.1,"M",NA
2019,"Cape Egemont",1315,"Homarus americanus",9.1,"",NA
2019,"Cape Egemont",1316,"Homarus americanus",39.3,"F",NA
2019,"Cape Egemont",1317,"Homarus americanus",10.9,"M",NA
2019,"Cape Egemont",1317,"Homarus americanus",48.6,"M",NA
2019,"Cape Egemont",1318,"Homarus americanus",46.7,"M",NA
2019,"Cape Egemont",1318,"Homarus americanus",19.4,"M",NA
2019,"Cape Egemont",1318,"Homarus americanus",11.4,"",NA
2019,"Cape Egemont",1319,"Homarus americanus",46.2,"F",NA
2019,"Cape Egemont",1320,"Homarus americanus",10.4,"",NA
2019,"Cape Egemont",1320,"Homarus americanus",36.6,"M",NA
2019,"Cape Egemont",1320,"Homarus americanus",26.1,"M",NA
2019,"Cape Egemont",1321,"Homarus americanus",27.6,"F",NA
2019,"Cape Egemont",1321,"Homarus americanus",28.5,"M",NA
2019,"Cape Egemont",1322,"Homarus americanus",40.6,"M",NA
2019,"Cape Egemont",1323,"Homarus americanus",24.3,"M",NA
2019,"Cape Egemont",1323,"Homarus americanus",40.9,"M",NA
2019,"Cape Egemont",1324,"Homarus americanus",36.4,"F",NA
2019,"Cape Egemont",1324,"Homarus americanus",11.3,"",NA
2019,"Cape Egemont",1325,"Homarus americanus",11.5,"",NA
2019,"Cape Egemont",1325,"Homarus americanus",38.6,"F",NA
2019,"Cape Egemont",1325,"Homarus americanus",22,"M",NA
2019,"Cape Egemont",1325,"Homarus americanus",23.2,"M",NA
2019,"Covehead",1356,"Homarus americanus",36.3,"F",NA
2019,"Covehead",1356,"Homarus americanus",21.2,"F",NA
2019,"Covehead",1356,"Homarus americanus",26.1,"M",NA
2019,"Covehead",1356,"Homarus americanus",27.4,"F",NA
2019,"Covehead",1356,"Homarus americanus",13.1,"",NA
2019,"Covehead",1356,"Homarus americanus",16.1,"",NA
2019,"Covehead",1356,"Homarus americanus",16.6,"",NA
2019,"Covehead",1356,"Homarus americanus",12,"",NA
2019,"Covehead",1356,"Homarus americanus",14.2,"",NA
2019,"Covehead",1357,"Homarus americanus",9.1,"",NA
2019,"Covehead",1357,"Homarus americanus",15,"",NA
2019,"Covehead",1357,"Homarus americanus",15.1,"",NA
2019,"Covehead",1357,"Homarus americanus",18.4,"F",NA
2019,"Covehead",1357,"Homarus americanus",9.3,"",NA
2019,"Covehead",1357,"Homarus americanus",16.9,"",NA
