Year,Site,collector ID,nYOY,nWI
2010,Nine Mile Creek,1861,NA,NA
2010,Nine Mile Creek,1862,NA,NA
2010,Nine Mile Creek,1863,NA,NA
2010,Nine Mile Creek,1864,NA,NA
2010,Nine Mile Creek,1865,NA,NA
2010,Nine Mile Creek,1866,NA,NA
2010,Nine Mile Creek,1867,NA,NA
2010,Nine Mile Creek,1868,NA,NA
2010,Nine Mile Creek,1869,NA,NA
2010,Nine Mile Creek,1870,NA,NA
2010,Skinner's Pond,1871,1,NA
2010,Skinner's Pond,1872,NA,1
2010,Skinner's Pond,1873,NA,NA
2010,Skinner's Pond,1874,NA,NA
2010,Skinner's Pond,1875,NA,NA
2010,Skinner's Pond,1876,NA,1
2010,Skinner's Pond,1877,1,1
2010,Skinner's Pond,1878,NA,1
2010,Skinner's Pond,1879,NA,NA
2010,Skinner's Pond,1880,NA,NA
2010,Skinner's Pond,1881,1,1
2010,Skinner's Pond,1882,NA,2
2010,Skinner's Pond,1883,NA,1
2010,Skinner's Pond,1884,NA,NA
2010,Skinner's Pond,1885,1,1
2010,Skinner's Pond,1886,NA,NA
2010,Skinner's Pond,1887,NA,1
2010,Skinner's Pond,1888,NA,NA
2010,Skinner's Pond,1889,1,NA
2010,Skinner's Pond,1890,NA,NA
2010,Skinner's Pond,1891,NA,1
2010,Skinner's Pond,1892,NA,1
2010,Skinner's Pond,1893,1,NA
2010,Skinner's Pond,1894,NA,NA
2010,Skinner's Pond,1895,NA,NA
2010,Skinner's Pond,1896,NA,1
2010,Skinner's Pond,1897,NA,NA
2010,Skinner's Pond,1898,NA,NA
2010,Skinner's Pond,1899,NA,NA
2010,Skinner's Pond,1900,1,NA
2011,Alberton,559,1,2
2011,Alberton,560,2,2
2011,Alberton,561,NA,4
2011,Alberton,562,4,4
2011,Alberton,563,1,4
2011,Alberton,564,1,2
2011,Alberton,565,1,4
2011,Alberton,566,NA,2
2011,Alberton,567,3,4
2011,Alberton,568,2,3
2011,Alberton,569,1,5
2011,Alberton,570,3,2
2011,Alberton,571,1,3
2011,Alberton,572,NA,1
2011,Alberton,573,2,7
2011,Alberton,574,2,3
2011,Alberton,575,NA,3
2011,Alberton,576,1,3
2011,Alberton,577,2,2
2011,Alberton,578,NA,2
2011,Alberton,579,NA,1
2011,Alberton,580,3,3
2011,Alberton,581,1,4
2011,Alberton,582,1,2
2011,Alberton,583,1,2
2011,Alberton,584,NA,2
2011,Alberton,585,NA,3
2011,Alberton,586,NA,3
2011,Alberton,587,1,4
2011,Alberton,588,4,3
2011,Arisaig,2026,NA,NA
2011,Arisaig,2034,NA,NA
2011,Arisaig,2035,1,NA
2011,Arisaig,2036,NA,NA
2011,Arisaig,2037,1,NA
2011,Arisaig,2038,NA,NA
2011,Arisaig,2039,NA,1
2011,Arisaig,2040,NA,NA
2011,Arisaig,2041,NA,NA
2011,Arisaig,2042,NA,NA
2011,Arisaig,2043,NA,NA
2011,Arisaig,2044,NA,1
2011,Arisaig,2046,NA,NA
2011,Arisaig,2048,NA,NA
2011,Arisaig,2049,NA,NA
2011,Arisaig,2050,NA,NA
2011,Arisaig,2051,NA,NA
2011,Arisaig,2052,NA,NA
2011,Arisaig,2053,NA,NA
2011,Arisaig,2054,NA,NA
2011,Arisaig,2055,NA,NA
2011,Arisaig,2056,NA,NA
2011,Arisaig,2057,NA,NA
2011,Arisaig,2058,NA,1
2011,Arisaig,2059,NA,NA
2011,Arisaig,2060,NA,NA
2011,Arisaig,2061,NA,NA
2011,Arisaig,2062,NA,NA
2011,Covehead,554,1,3
2011,Covehead,555,NA,2
2011,Covehead,556,NA,2
2011,Covehead,557,NA,1
2011,Covehead,558,NA,1
2011,Covehead,1718,1,1
2011,Covehead,1720,NA,2
2011,Covehead,1721,2,1
2011,Covehead,1722,4,5
2011,Covehead,1723,NA,2
2011,Covehead,1724,2,2
2011,Covehead,1725,NA,NA
2011,Covehead,1726,2,1
2011,Covehead,1727,1,3
2011,Covehead,1728,NA,2
2011,Covehead,1729,NA,2
2011,Covehead,1730,1,1
2011,Covehead,1731,NA,2
2011,Covehead,1732,1,1
2011,Covehead,1733,NA,2
2011,Covehead,1734,NA,3
2011,Covehead,1735,1,1
2011,Covehead,1736,NA,2
2011,Covehead,1737,NA,2
2011,Covehead,1738,NA,1
2011,Covehead,1742,NA,2
2011,Covehead,1743,1,2
2011,Covehead,1744,2,NA
2011,Covehead,1745,NA,NA
