"year","site","collector","condition","comment"
2010,"Murray Harbour",1752,"OK",""
2010,"Nine Mile Creek",1845,"OK",""
2010,"Nine Mile Creek",1844,"OK",""
2010,"Nine Mile Creek",1855,"OK",""
2010,"Nine Mile Creek",1849,"OK",""
2010,"Nine Mile Creek",1843,"OK",""
2010,"Nine Mile Creek",1848,"OK",""
2010,"Nine Mile Creek",1842,"OK","5% de gravel"
2010,"Nine Mile Creek",1841,"OK",""
2010,"Nine Mile Creek",1854,"OK",""
2010,"Nine Mile Creek",1847,"OK",""
2010,"Nine Mile Creek",1853,"OK",""
2010,"Nine Mile Creek",1846,"OK",""
2010,"Nine Mile Creek",1850,"OK",""
2010,"Nine Mile Creek",1858,"OK",""
2010,"Nine Mile Creek",1852,"OK",""
2010,"Nine Mile Creek",1857,"OK",""
2010,"Nine Mile Creek",1863,"OK",""
2010,"Nine Mile Creek",1869,"OK",""
2010,"Nine Mile Creek",1851,"OK",""
2010,"Nine Mile Creek",1860,"OK",""
2010,"Nine Mile Creek",1856,"OK",""
2010,"Nine Mile Creek",1862,"OK",""
2010,"Nine Mile Creek",1868,"OK",""
2010,"Nine Mile Creek",1865,"OK",""
2010,"Nine Mile Creek",1861,"OK",""
2010,"Nine Mile Creek",1867,"OK","pas de gravel"
2010,"Nine Mile Creek",1859,"OK",""
2010,"Nine Mile Creek",1870,"OK",""
2010,"Nine Mile Creek",1864,"OK",""
2010,"Nine Mile Creek",1866,"OK",""
2010,"Skinner's Pond",1894,"OK",""
2010,"Skinner's Pond",1886,"OK",""
2010,"Skinner's Pond",1888,"OK",""
2010,"Skinner's Pond",1883,"OK",""
2010,"Skinner's Pond",1900,"OK",""
2010,"Skinner's Pond",1895,"OK",""
2010,"Skinner's Pond",1889,"OK",""
2010,"Skinner's Pond",1884,"OK",""
2010,"Skinner's Pond",1899,"OK",""
2010,"Skinner's Pond",1873,"OK",""
2010,"Skinner's Pond",1885,"OK",""
2010,"Skinner's Pond",1896,"OK",""
2010,"Skinner's Pond",1872,"OK",""
2010,"Skinner's Pond",1882,"OK",""
2010,"Skinner's Pond",1898,"OK",""
2010,"Skinner's Pond",1887,"OK",""
2010,"Skinner's Pond",1890,"OK",""
2010,"Skinner's Pond",1897,"OK",""
2010,"Skinner's Pond",1875,"OK",""
2010,"Skinner's Pond",1878,"OK",""
2010,"Skinner's Pond",1891,"OK",""
2010,"Skinner's Pond",1876,"OK",""
2010,"Skinner's Pond",1879,"OK","5% of gravel"
2010,"Skinner's Pond",1871,"OK",""
2010,"Skinner's Pond",1874,"OK",""
2010,"Skinner's Pond",1892,"OK",""
2010,"Skinner's Pond",1877,"OK",""
2010,"Skinner's Pond",1893,"OK",""
2010,"Skinner's Pond",1880,"OK",""
2010,"Skinner's Pond",1881,"OK",""
2010,"Arisaig",2060,"OK",""
2010,"Arisaig",2054,"OK",""
2010,"Arisaig",2049,"OK",""
2010,"Arisaig",2036,"OK",""
2010,"Arisaig",2059,"OK",""
2010,"Arisaig",2035,"OK",""
2010,"Arisaig",2039,"OK",""
2010,"Arisaig",2034,"OK",""
2010,"Arisaig",2062,"OK",""
2010,"Arisaig",2058,"OK",""
2010,"Arisaig",2041,"OK","no gravel"
2010,"Arisaig",2056,"OK",""
2010,"Arisaig",2037,"OK",""
2010,"Arisaig",2051,"OK",""
2010,"Arisaig",2047,"OK",""
2010,"Arisaig",2048,"OK",""
2010,"Arisaig",2043,"OK",""
2010,"Arisaig",2053,"OK",""
2010,"Arisaig",2061,"OK",""
2010,"Arisaig",2046,"OK",""
2010,"Arisaig",2038,"OK",""
