"Site_id","FK_Project_Code","Site_Name","C_Enter_Lat","C_Enter_lon","Comments","S_Day","S_Month","S_Year","S_Date","R_Day","R_Month","R_Year","R_Date"
714,"coll2012","Covehead",46.44,-63.15,"Collectors deployed on July 3, 2012 in 18-21 feet of water. Collector numbers were #1051 to #1080 with the temperature recorder attached to #1053.  All collectors were retrieved September 25, 2012 with the exception of one collector #1077.",3.00,7.00,2012.00,7/3/2012 0:00:00,25.00,9.00,2012.00,9/25/2012 0:00:00
715,"coll2012","Skinner's Pond",46.94,-64.18,"Deployed on July 16, 2012 in 25 feet (#1081 to #1110 with the temperature recorder attached to #1083).  28 collectors were retrieved on October 15, 2012 with #1084 and #1087 lost.",16.00,7.00,2012.00,7/16/2012 0:00:00,15.00,10.00,2012.00,10/15/2012 0:00:00
716,"coll2012","Murray Harbour",46.06,-62.45,"Temp probe on #1113.  Collectors on North end of grid (corner with coll #1140) buried in sediment.  #1121 came up with ends of door not attached by hog rings and a number of rocks missing.",9.00,7.00,2012.00,7/9/2012 0:00:00,17.00,10.00,2012.00,10/17/2012 0:00:00
717,"coll2012","Fortune",46.30,-62.33,"Deployed July 3, 2012.  30 coll. at 28-30 feet (#1141 to #1170, temp. recorder on #1143) and 5 collectors at 68 feet not in DB in separate Excel file (#1334 to #1338, temp. recorder on #1336)  All collectors retrieved except for #1147 on Sept. 24, 2012.",3.00,7.00,2012.00,7/3/2012 0:00:00,24.00,9.00,2012.00,9/24/2012 0:00:00
718,"coll2012","Alberton",46.73,-63.96,"Deployed on July 12, 2012 in 27-29 feet (#1171 to #1200 with the temperature recorder on #1173).  Retrieved on October 2, 2012 with the exception of #1192 as the bouy line broke with collector half way up to boat.",12.00,7.00,2012.00,7/12/2012 0:00:00,2.00,10.00,2012.00,10/2/2012 0:00:00
719,"coll2012","Arisaig",,,"One of the collectors did not have a tag.  It was an extra collector that the fisherman put in the water with the others.  We gave it number 1021 and data is not included in database.",30.00,6.00,2012.00,6/30/2012 0:00:00,4.00,10.00,2012.00,10/4/2012 0:00:00
720,"coll2013","Arisaig",,,,1.00,7.00,2013.00,7/1/2013 0:00:00,22.00,10.00,2013.00,10/22/2013 0:00:00
721,"coll2013","Nine Mile Creek",46.10,-63.22,"collector 952, 946, 934 and 932 no species found.  no lobster for this site.  Site Depth : 24-25 feet.  Temperature probe on #932.  All collectors retrieved.",15.00,7.00,2013.00,7/15/2013 0:00:00,26.00,9.00,2013.00,9/26/2013 0:00:00
722,"coll2013","Covehead",46.44,-63.16,"Site depth 24-25 feet.  Only 29 collectors deployed.  Temperature probe on #903.",10.00,7.00,2013.00,7/10/2013 0:00:00,30.00,9.00,2013.00,9/30/2013 0:00:00
723,"coll2013","Fortune",46.30,-62.33,"30 collectors at 25-31 feet.  5 collectors at 66 feet are not in DB but in a separate Excel file (#1001-1005), at position 46.3014 -62.3083.  Temperature probes on #1004 and 1008.  Collector #1011 not retrieved.  Collector 1016 considered upside down.",3.00,7.00,2013.00,7/3/2013 0:00:00,25.00,9.00,2013.00,9/25/2013 0:00:00
