"FK_Project_Code","Site_Name","R_Year","Collector_id","FK_Site_ID","Coll_no","Ret_Comments","Cond_ret"
"Coll08","Arisaig",2008.00,154,55,2,,1
"Coll08","Arisaig",2008.00,155,55,3,,1
"Coll08","Arisaig",2008.00,156,55,4,,1
"Coll08","Arisaig",2008.00,157,55,5,,1
"Coll08","Arisaig",2008.00,158,55,6,"collector was flipped over",5
"Coll08","Arisaig",2008.00,159,55,7,,1
"Coll08","Arisaig",2008.00,160,55,8,,1
"Coll08","Arisaig",2008.00,161,55,9,,1
"Coll08","Arisaig",2008.00,162,55,10,,1
"Coll08","Arisaig",2008.00,163,55,11,"Collector dragged on bottom",1
"Coll08","Arisaig",2008.00,164,55,12,,1
"Coll08","Arisaig",2008.00,165,55,13,,1
"Coll08","Arisaig",2008.00,166,55,14,,1
"Coll08","Arisaig",2008.00,167,55,15,,1
"Coll08","Arisaig",2008.00,168,55,16,,1
"Coll08","Arisaig",2008.00,169,55,17,,1
"Coll08","Arisaig",2008.00,170,55,18,,1
"Coll08","Arisaig",2008.00,171,55,19,,1
"Coll08","Arisaig",2008.00,172,55,20,,1
"Coll08","Arisaig",2008.00,173,55,21,,1
"Coll08","Arisaig",2008.00,174,55,22,,1
"Coll08","Arisaig",2008.00,175,55,23,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,176,55,24,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,177,55,25,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,178,55,26,,1
"Coll08","Arisaig",2008.00,179,55,27,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,180,55,28,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,181,55,29,,1
"Coll08","Arisaig",2008.00,182,55,30,"Biodiversity sample",1
"coll09","Alberton",2009.00,183,58,661,"No gravel.",1
"coll09","Alberton",2009.00,184,58,662,,1
"coll09","Alberton",2009.00,185,58,663,"Came up and down several times in the hauler because of a tangled buoy line",1
"coll09","Alberton",2009.00,186,58,664,,1
"coll09","Alberton",2009.00,187,58,665,,1
"coll09","Alberton",2009.00,188,58,666,,1
"coll09","Alberton",2009.00,189,58,667,"No gravel.",1
"coll09","Alberton",2009.00,190,58,668,"No gravel.",1
"coll09","Alberton",2009.00,191,58,669,,1
"coll09","Alberton",2009.00,192,58,670,,1
"coll09","Alberton",2009.00,193,58,671,"No gravel.",1
"coll09","Alberton",2009.00,194,58,672,,3
"coll09","Alberton",2009.00,195,58,673,,1
"coll09","Alberton",2009.00,196,58,674,,3
"coll09","Alberton",2009.00,197,58,675,,1
"coll09","Alberton",2009.00,198,58,676,,1
"coll09","Alberton",2009.00,199,58,677,,3
"coll09","Alberton",2009.00,200,58,678,,1
"coll09","Alberton",2009.00,201,58,679,"No gravel in coll.",1
"coll09","Alberton",2009.00,202,58,680,,1
"coll09","Alberton",2009.00,203,58,681,,1
"coll09","Alberton",2009.00,204,58,682,,1
"coll09","Alberton",2009.00,205,58,683,,1
"coll09","Alberton",2009.00,206,58,684,,3
"coll09","Alberton",2009.00,207,58,685,,1
"coll09","Alberton",2009.00,208,58,686,,1
"coll09","Alberton",2009.00,209,58,687,,1
"coll09","Alberton",2009.00,210,58,688,,1
"coll09","Alberton",2009.00,211,58,689,,1
"coll09","Alberton",2009.00,212,58,690,,1
"coll09","Covehead",2009.00,213,57,601,,1
"coll09","Covehead",2009.00,214,57,602,"came up on side; no gravel",1
"coll09","Covehead",2009.00,215,57,603,,1
"coll09","Covehead",2009.00,216,57,604,,1
"coll09","Covehead",2009.00,217,57,605,,1
"coll09","Covehead",2009.00,218,57,606,,1
"coll09","Covehead",2009.00,219,57,607,"No fish;",1
"coll09","Covehead",2009.00,220,57,608,,1
"coll09","Covehead",2009.00,221,57,609,,1
"coll09","Covehead",2009.00,222,57,610,"no gravel",1
"coll09","Covehead",2009.00,223,57,611,"no gravel",1
"coll09","Covehead",2009.00,224,57,612,,1
"coll09","Covehead",2009.00,225,57,613,"almost no gravel",1
"coll09","Covehead",2009.00,226,57,614,,1
"coll09","Covehead",2009.00,227,57,615,"no gravel",1
"coll09","Covehead",2009.00,228,57,616,"50% less rocks than expected in coll; no gravel.",1
"coll09","Covehead",2009.00,229,57,617,"no gravel",1
"coll09","Covehead",2009.00,230,57,618,,1
"coll09","Covehead",2009.00,231,57,619,,1
"coll09","Covehead",2009.00,232,57,620,"no gravel; collector came up sideways as the bridal was hooked under one corner of the collector.",1
"coll09","Covehead",2009.00,233,57,621,,1
"coll09","Covehead",2009.00,234,57,622,"No gravel",1
"coll09","Covehead",2009.00,235,57,623,,1
"coll09","Covehead",2009.00,236,57,624,,1
"coll09","Covehead",2009.00,237,57,625,,1
"coll09","Covehead",2009.00,238,57,626,,1
"coll09","Covehead",2009.00,239,57,627,"75% amount of rocks in collector; less rocks than should.",1
"coll09","Covehead",2009.00,240,57,628,,1
"coll09","Covehead",2009.00,241,57,629,,1
"coll09","Covehead",2009.00,242,57,630,,1
"coll09","Skinner's Pond",2009.00,244,61,777,,1
"coll09","Skinner's Pond",2009.00,245,61,778,,1
"coll09","Skinner's Pond",2009.00,246,61,779,,1
"coll09","Skinner's Pond",2009.00,247,61,780,,1
"coll09","Skinner's Pond",2009.00,249,61,772,,1
"coll09","Skinner's Pond",2009.00,250,61,773,,1
"coll09","Skinner's Pond",2009.00,251,61,774,,1
"coll09","Skinner's Pond",2009.00,252,61,775,,1
"coll09","Skinner's Pond",2009.00,253,61,766,,1
"coll09","Skinner's Pond",2009.00,254,61,767,,1
"coll09","Skinner's Pond",2009.00,255,61,768,,1
"coll09","Skinner's Pond",2009.00,256,61,769,,1
"coll09","Skinner's Pond",2009.00,258,61,756,,1
"coll09","Skinner's Pond",2009.00,259,61,757,,1
"coll09","Skinner's Pond",2009.00,260,61,758,,1
"coll09","Skinner's Pond",2009.00,261,61,759,,1
"coll09","Skinner's Pond",2009.00,263,61,751,,1
"coll09","Skinner's Pond",2009.00,264,61,752,,1
"coll09","Skinner's Pond",2009.00,265,61,753,,1
"coll09","Skinner's Pond",2009.00,266,61,754,,1
"coll09","Skinner's Pond",2009.00,268,61,761,,1
"coll09","Skinner's Pond",2009.00,269,61,762,,1
"coll09","Skinner's Pond",2009.00,270,61,763,"Temp probe on this coll.",1
"coll09","Skinner's Pond",2009.00,271,61,764,,1
"coll09","Skinner's Pond",2009.00,272,61,765,,1
"coll09","Nine Mile Creek",2009.00,273,62,746,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,274,62,747,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,275,62,748,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,276,62,749,,1
"coll09","Nine Mile Creek",2009.00,277,62,750,,1
"coll09","Nine Mile Creek",2009.00,278,62,743,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,279,62,741,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,280,62,742,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,281,62,744,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,282,62,745,,1
"coll09","Nine Mile Creek",2009.00,283,62,740,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,284,62,739,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,285,62,738,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,286,62,737,,1
"coll09","Nine Mile Creek",2009.00,287,62,736,,1
"coll09","Nine Mile Creek",2009.00,288,62,735,,1
"coll09","Nine Mile Creek",2009.00,289,62,734,,1
"coll09","Nine Mile Creek",2009.00,290,62,733,,1
"coll09","Nine Mile Creek",2009.00,291,62,732,,1
"coll09","Nine Mile Creek",2009.00,292,62,731,,1
"coll09","Nine Mile Creek",2009.00,293,62,727,,1
"coll09","Nine Mile Creek",2009.00,294,62,729,,1
"coll09","Nine Mile Creek",2009.00,295,62,730,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,296,62,726,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,297,62,728,,1
"coll09","Nine Mile Creek",2009.00,298,62,725,,1
"coll09","Nine Mile Creek",2009.00,299,62,724,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,300,62,723,"no rock crab in this collector",1
"coll09","Nine Mile Creek",2009.00,301,62,722,,1
"coll09","Nine Mile Creek",2009.00,302,62,721,"no rock crab in this collector",1
"coll09","Murray Harbour",2009.00,303,59,716,"1/4 amount of rocks",1
"coll09","Murray Harbour",2009.00,304,59,717,"No gravel",1
"coll09","Murray Harbour",2009.00,305,59,718,,1
"coll09","Murray Harbour",2009.00,306,59,719,,1
"coll09","Murray Harbour",2009.00,307,59,720,,1
"coll09","Murray Harbour",2009.00,308,59,691,,1
"coll09","Murray Harbour",2009.00,309,59,692,,1
"coll09","Murray Harbour",2009.00,310,59,693,,1
"coll09","Murray Harbour",2009.00,311,59,694,"No gravel, considered upsdide down",5
"coll09","Murray Harbour",2009.00,312,59,695,,1
"coll09","Murray Harbour",2009.00,313,59,696,"No gravel",1
"coll09","Murray Harbour",2009.00,314,59,697,"No gravel",1
"coll09","Murray Harbour",2009.00,315,59,698,"Considered upside down",5
"coll09","Murray Harbour",2009.00,316,59,699,,1
"coll09","Murray Harbour",2009.00,317,59,700,,1
"coll09","Murray Harbour",2009.00,318,59,701,,1
"coll09","Murray Harbour",2009.00,319,59,702,"No gravel; considered upside down",5
"coll09","Murray Harbour",2009.00,320,59,703,,1
"coll09","Murray Harbour",2009.00,321,59,704,,1
"coll09","Murray Harbour",2009.00,322,59,705,"No gravel",1
"coll09","Murray Harbour",2009.00,323,59,706,"No gravel",1
"coll09","Murray Harbour",2009.00,324,59,707,,1
"coll09","Murray Harbour",2009.00,325,59,708,,1
"coll09","Murray Harbour",2009.00,326,59,709,"No gravel",1
"coll09","Murray Harbour",2009.00,327,59,710,"No gravel",1
"coll09","Murray Harbour",2009.00,328,59,711,"No gravel; clean rocks, clean trap, considered as upside down.",5
"coll09","Murray Harbour",2009.00,329,59,712,"One runner attacked by worms",1
"coll09","Murray Harbour",2009.00,330,59,713,"No gravel",1
"coll09","Murray Harbour",2009.00,331,59,714,"No gravel",1
"coll09","Murray Harbour",2009.00,332,59,715,"No gravel; clean, considered upside down.",5
"coll09","Fortune",2009.00,333,63,640,,1
"coll09","Fortune",2009.00,334,63,639,,1
"coll09","Fortune",2009.00,335,63,638,,1
"coll09","Fortune",2009.00,336,63,637,,1
"coll09","Fortune",2009.00,337,63,636,,1
"coll09","Fortune",2009.00,338,63,635,,1
"coll09","Fortune",2009.00,339,63,634,,1
"coll09","Fortune",2009.00,340,63,633,"no rock crab in this collector",1
"coll09","Fortune",2009.00,341,63,632,,1
"coll09","Fortune",2009.00,342,63,631,,1
"coll09","Fortune",2009.00,343,63,645,,1
"coll09","Fortune",2009.00,344,63,644,,1
"coll09","Fortune",2009.00,345,63,643,"no rock crab in this collector",1
"coll09","Fortune",2009.00,346,63,642,,1
"coll09","Fortune",2009.00,347,63,641,"no rock crab in this collector",1
"coll09","Fortune",2009.00,348,63,650,"no rock crab in this collector",1
"coll09","Fortune",2009.00,349,63,649,,1
"coll09","Fortune",2009.00,350,63,648,,1
"coll09","Fortune",2009.00,352,63,646,"No gravel",1
"coll09","Fortune",2009.00,353,63,655,,1
"coll09","Fortune",2009.00,354,63,654,,1
"coll09","Fortune",2009.00,355,63,653,,1
"coll09","Fortune",2009.00,356,63,652,,1
"coll09","Fortune",2009.00,357,63,651,,1
"coll09","Fortune",2009.00,358,63,660,"came up and dropped out of hauler back into the water and then picked up again.",1
"coll09","Fortune",2009.00,359,63,659,,1
"coll09","Fortune",2009.00,360,63,658,"No gravel",1
"coll09","Fortune",2009.00,361,63,657,"No gravel,",1
"coll09","Fortune",2009.00,362,63,656,,1
"coll09","Arisaig",2009.00,364,60,193,"empty",1
"coll09","Arisaig",2009.00,365,60,192,,1
"coll09","Arisaig",2009.00,366,60,785,,1
"coll09","Arisaig",2009.00,367,60,182,,1
"coll09","Arisaig",2009.00,368,60,476,,1
"coll09","Arisaig",2009.00,369,60,194,,1
"coll09","Arisaig",2009.00,370,60,793,"had 3 crabs but were discarded by mistake",1
"coll09","Arisaig",2009.00,371,60,481,,1
"coll09","Arisaig",2009.00,372,60,787,,1
"coll09","Arisaig",2009.00,373,60,196,,1
"coll09","Arisaig",2009.00,374,60,495,,1
"coll09","Arisaig",2009.00,375,60,195,,1
"coll09","Arisaig",2009.00,376,60,791,,1
"coll09","Arisaig",2009.00,377,60,463,,1
"coll09","Arisaig",2009.00,378,60,800,,1
"coll09","Arisaig",2009.00,379,60,798,,1
"coll09","Arisaig",2009.00,380,60,781,,1
"coll09","Arisaig",2009.00,381,60,486,,1
"coll09","Arisaig",2009.00,382,60,783,,1
"coll09","Arisaig",2009.00,383,60,786,,1
"coll09","Arisaig",2009.00,384,60,782,,1
"coll09","Arisaig",2009.00,385,60,470,,1
"coll09","Arisaig",2009.00,386,60,479,,1
"coll09","Arisaig",2009.00,387,60,474,,1
"coll09","Arisaig",2009.00,388,60,465,,1
"coll2010","Fortune",2010.00,401,71,1795,,1
"coll2010","Fortune",2010.00,402,71,1789,,1
"coll2010","Fortune",2010.00,403,71,1794,"no gravel",1
"coll2010","Fortune",2010.00,404,71,1784,"no lining",1
"coll2010","Fortune",2010.00,405,71,1790,,1
"coll2010","Fortune",2010.00,406,71,1798,,1
"coll2010","Fortune",2010.00,407,71,1797,"10% du gravier dans le collecteur",1
"coll2010","Fortune",2010.00,408,71,1796,,1
"coll2010","Fortune",2010.00,409,71,1785,,1
"coll2010","Fortune",2010.00,410,71,1792,,1
"coll2010","Fortune",2010.00,411,71,1787,,1
"coll2010","Fortune",2010.00,412,71,1779,,1
"coll2010","Fortune",2010.00,413,71,1782,,1
"coll2010","Fortune",2010.00,414,71,1793,,1
"coll2010","Fortune",2010.00,415,71,1800,,1
"coll2010","Fortune",2010.00,416,71,1799,,1
"coll2010","Fortune",2010.00,417,71,1788,,1
"coll2010","Fortune",2010.00,418,71,1786,,1
"coll2010","Fortune",2010.00,419,71,1802,,1
"coll2010","Fortune",2010.00,420,71,1778,,1
"coll2010","Fortune",2010.00,421,71,1783,"2 fois plus de gravier",1
"coll2010","Fortune",2010.00,422,71,1780,"5% de gravier",1
"coll2010","Fortune",2010.00,423,71,1805,,1
"coll2010","Fortune",2010.00,424,71,1804,"Pas de gravier",1
"coll2010","Fortune",2010.00,430,71,1803,"sampled on sept 22, ramassé au grapin - 5% de gravier",1
"coll2010","Fortune",2010.00,431,71,1777,"sampled on sept 22, ramassé au grapin",1
"coll2010","Fortune",2010.00,432,71,1706,"sampled on oct 15",1
"coll2010","Fortune",2010.00,433,71,1801,"retrieved on oct 14, sampled on oct 15",1
"coll2010","Fortune",2010.00,434,71,1791,"retrieved on oct 14, sampled on oct 15",1
"coll2010","Covehead",2010.00,435,72,1738,,1
"coll2010","Covehead",2010.00,436,72,1745,"5% of gravel",1
"coll2010","Covehead",2010.00,437,72,1744,,1
"coll2010","Covehead",2010.00,438,72,1743,,1
"coll2010","Covehead",2010.00,439,72,1742,"5% of gravel",1
"coll2010","Covehead",2010.00,440,72,1733,"5% of gravel",1
"coll2010","Covehead",2010.00,441,72,1718,,1
"coll2010","Covehead",2010.00,442,72,1729,,1
"coll2010","Covehead",2010.00,443,72,1728,,1
"coll2010","Covehead",2010.00,444,72,1727,,1
"coll2010","Covehead",2010.00,445,72,1736,"5% of gravel",1
"coll2010","Covehead",2010.00,446,72,1721,,1
"coll2010","Covehead",2010.00,447,72,1726,,1
"coll2010","Covehead",2010.00,448,72,1725,,1
"coll2010","Covehead",2010.00,449,72,1724,,1
"coll2010","Covehead",2010.00,450,72,1720,,1
"coll2010","Covehead",2010.00,451,72,1723,,1
"coll2010","Covehead",2010.00,452,72,1719,,1
"coll2010","Covehead",2010.00,453,72,1722,"no gravel",1
"coll2010","Covehead",2010.00,454,72,1732,,1
"coll2010","Covehead",2010.00,455,72,1735,,1
"coll2010","Covehead",2010.00,456,72,1739,"5% of gravel",1
"coll2010","Covehead",2010.00,457,72,1731,"no gravel",1
"coll2010","Covehead",2010.00,458,72,1730,,1
"coll2010","Covehead",2010.00,459,72,1734,"no gravel",1
"coll2010","Covehead",2010.00,460,72,1737,,1
"coll2010","Covehead",2010.00,461,72,1746,,1
"coll2010","Alberton",2010.00,462,73,1836,,1
"coll2010","Alberton",2010.00,463,73,1837,,1
"coll2010","Alberton",2010.00,464,73,1833,,1
"coll2010","Alberton",2010.00,465,73,1829,,1
"coll2010","Alberton",2010.00,466,73,1840,,1
"coll2010","Alberton",2010.00,467,73,1822,,1
"coll2010","Alberton",2010.00,468,73,1824,,1
"coll2010","Alberton",2010.00,469,73,1839,,3
"coll2010","Alberton",2010.00,470,73,1838,,1
"coll2010","Alberton",2010.00,471,73,1835,,1
"coll2010","Alberton",2010.00,472,73,1834,,1
"coll2010","Alberton",2010.00,473,73,1821,,1
"coll2010","Alberton",2010.00,474,73,1831,,1
"coll2010","Alberton",2010.00,475,73,1823,,1
"coll2010","Alberton",2010.00,476,73,1818,,1
"coll2010","Alberton",2010.00,477,73,1825,,1
"coll2010","Alberton",2010.00,478,73,1827,,1
"coll2010","Alberton",2010.00,479,73,1828,,1
"coll2010","Alberton",2010.00,480,73,1826,,1
"coll2010","Alberton",2010.00,481,73,1820,,1
"coll2010","Alberton",2010.00,482,73,1832,,1
"coll2010","Alberton",2010.00,483,73,1819,"no liner in collector",1
"coll2010","Alberton",2010.00,484,73,1815,,1
"coll2010","Alberton",2010.00,485,73,1814,,1
"coll2010","Alberton",2010.00,486,73,1817,,1
"coll2010","Alberton",2010.00,487,73,1830,,1
"coll2010","Alberton",2010.00,488,73,1813,"plein de sable",3
"coll2010","Alberton",2010.00,489,73,1812,,2
"coll2010","Alberton",2010.00,490,73,1816,,1
"coll2010","Alberton",2010.00,491,73,1811,,1
"coll2010","Murray Harbour",2010.00,492,74,1760,,1
"coll2010","Murray Harbour",2010.00,493,74,1759,,1
"coll2010","Murray Harbour",2010.00,494,74,1747,,1
"coll2010","Murray Harbour",2010.00,495,74,1761,,1
"coll2010","Murray Harbour",2010.00,496,74,1764,,1
"coll2010","Murray Harbour",2010.00,497,74,1758,,1
"coll2010","Murray Harbour",2010.00,498,74,1763,,1
"coll2010","Murray Harbour",2010.00,499,74,1750,,1
"coll2010","Murray Harbour",2010.00,500,74,1753,,1
"coll2010","Murray Harbour",2010.00,501,74,1749,,1
"coll2010","Murray Harbour",2010.00,502,74,1754,"5% of gravel",1
"coll2010","Murray Harbour",2010.00,503,74,1769,"no gravel",1
